bucket,seq_index,score,n_ent,n_line,n_arc,n_circ,n_con
complex,195679,63.3,16,4,8,4,61
complex,36462,61.89999999999999,16,16,0,0,63
complex,252412,61.3,16,1,15,0,54
complex,206778,60.4,16,0,16,0,52
complex,23132,59.699999999999996,16,0,16,0,51
complex,67363,59.099999999999994,16,6,10,0,54
complex,173797,59.099999999999994,16,16,0,0,59
complex,158217,58.8,15,3,12,0,54
complex,215532,57.0,16,8,8,0,52
complex,270205,57.0,16,8,8,0,52
complex,304733,57.0,16,8,8,0,52
complex,4667,56.5,16,10,1,5,55
complex,6282,56.5,16,10,1,5,55
complex,9951,56.5,16,10,1,5,55
complex,26969,56.5,16,10,1,5,55
complex,42455,56.5,16,10,1,5,55
complex,43140,56.5,16,10,1,5,55
complex,48144,56.5,16,10,1,5,55
complex,64961,56.5,16,10,1,5,55
complex,68443,56.5,16,10,1,5,55
medium,167,14.0,6,6,0,0,11
medium,18232,13.3,6,6,0,0,10
medium,37453,12.799999999999999,8,8,0,0,6
medium,57271,12.9,8,6,0,2,6
medium,72496,11.9,6,6,0,0,8
medium,88961,13.3,6,6,0,0,10
medium,106577,13.3,6,6,0,0,10
medium,121991,13.3,6,6,0,0,10
medium,137073,12.600000000000001,6,6,0,0,9
medium,151010,13.499999999999998,8,8,0,0,7
medium,166687,13.4,6,4,0,2,10
medium,180755,13.4,6,4,0,2,10
medium,198442,11.7,6,3,3,0,6
medium,210696,12.6,6,4,2,0,8
medium,223693,14.2,8,8,0,0,8
medium,240016,12.600000000000001,6,6,0,0,9
medium,253662,13.3,6,6,0,0,10
medium,269542,14.0,6,6,0,0,11
medium,283523,12.499999999999998,7,0,0,7,7
medium,298265,13.3,6,6,0,0,10
