bucket,seq_index,score,n_entities,n_constraints,n_lines,n_arcs,n_circles,n_tangent
easy,5001,4.5,3,3,0,0,1,0
easy,5017,7.4,3,6,0,1,0,1
easy,5020,8.0,4,8,0,0,0,0
easy,5028,8.0,4,8,0,0,0,0
easy,5029,8.0,4,8,0,0,0,0
easy,5030,5.0,3,4,0,0,1,0
easy,5033,8.0,4,8,0,0,0,0
medium,5000,8.5,4,9,0,0,0,0
medium,5003,10.0,5,10,0,0,0,0
medium,5004,10.0,5,10,0,0,0,0
medium,5009,10.5,5,11,0,0,5,2
medium,5013,10.0,5,10,0,0,0,0
medium,5014,10.0,5,10,0,0,0,0
medium,5015,10.0,5,10,0,0,0,0
hard,5005,24.4,12,20,0,3,0,0
hard,5006,25.0,16,18,0,0,0,0
hard,5007,24.5,7,23,0,3,0,6
hard,5010,22.5,10,25,0,0,0,0
hard,5011,14.0,8,12,0,0,0,0
hard,5012,19.0,9,20,0,0,0,0
